id,date,lme_copper_cash
1,2017-12-24,6922.0
1,2017-12-31,7171.0
1,2018-01-07,7149.0
1,2018-01-14,7102.1
1,2018-01-21,7075.2
1,2018-01-28,7014.5
1,2018-02-04,7060.9
1,2018-02-11,6941.8
1,2018-02-18,6982.7
1,2018-02-25,7045.7
1,2018-03-04,6965.4
1,2018-03-11,6865.9
1,2018-03-18,6912.7
1,2018-03-25,6731.0
1,2018-04-01,6607.0
1,2018-04-08,6712.75
1,2018-04-15,6834.3
1,2018-04-22,6882.5
1,2018-04-29,6910.6
1,2018-05-06,6793.1
1,2018-05-13,6809.75
1,2018-05-20,6809.1
1,2018-05-27,6862.7
1,2018-06-03,6822.625
1,2018-06-10,7112.2
1,2018-06-17,7191.7
1,2018-06-24,6847.6
1,2018-07-01,6695.8
1,2018-07-08,6472.8
1,2018-07-15,6242.4
1,2018-07-22,6081.5
1,2018-07-29,6215.7
1,2018-08-05,6153.0
1,2018-08-12,6130.4
1,2018-08-19,5937.4
1,2018-08-26,5980.0
1,2018-09-02,6067.125
1,2018-09-09,5889.4
1,2018-09-16,5903.6
1,2018-09-23,6036.0
1,2018-09-30,6251.1
1,2018-10-07,6242.7
1,2018-10-14,6232.4
1,2018-10-21,6217.1
1,2018-10-28,6207.1
1,2018-11-04,6158.8
1,2018-11-11,6175.8
1,2018-11-18,6137.7
1,2018-11-25,6244.0
1,2018-12-02,6226.7
1,2018-12-09,6206.4
1,2018-12-16,6145.2
1,2018-12-23,6025.5
1,2018-12-30,5979.833333333333
1,2019-01-06,5863.75
1,2019-01-13,5918.6
1,2019-01-20,5921.8
1,2019-01-27,5916.9
1,2019-02-03,6065.1
1,2019-02-10,6178.9
1,2019-02-17,6147.7
1,2019-02-24,6349.5
1,2019-03-03,6531.6
1,2019-03-10,6467.0
1,2019-03-17,6458.6
1,2019-03-24,6474.8
1,2019-03-31,6379.5
1,2019-04-07,6455.0
1,2019-04-14,6460.0
1,2019-04-21,6468.25
1,2019-04-28,6409.0
1,2019-05-05,6322.0
1,2019-05-12,6131.125
1,2019-05-19,6033.1
1,2019-05-26,5937.6
1,2019-06-02,5856.125
1,2019-06-09,5801.5
1,2019-06-16,5824.9
1,2019-06-23,5880.5
1,2019-06-30,5966.8
1,2019-07-07,5908.0
1,2019-07-14,5890.9
1,2019-07-21,5978.5
1,2019-07-28,5982.2
1,2019-08-04,5892.7
1,2019-08-11,5690.9
1,2019-08-18,5712.0
1,2019-08-25,5698.6
1,2019-09-01,5678.75
1,2019-09-08,5675.0
1,2019-09-15,5797.3
1,2019-09-22,5784.0
1,2019-09-29,5729.1
1,2019-10-06,5638.4
1,2019-10-13,5679.6
1,2019-10-20,5725.0
1,2019-10-27,5824.7
1,2019-11-03,5854.6
1,2019-11-10,5906.5
1,2019-11-17,5833.0
1,2019-11-24,5833.9
1,2019-12-01,5877.9
1,2019-12-08,5842.6
1,2019-12-15,6074.8
1,2019-12-22,6154.7
1,2019-12-29,6182.833333333333
1,2020-01-05,6145.5
1,2020-01-12,6139.8
1,2020-01-19,6246.6
1,2020-01-26,6105.0
1,2020-02-02,5676.6
1,2020-02-09,5668.0
1,2020-02-16,5711.1
1,2020-02-23,5741.5
1,2020-03-01,5625.2
1,2020-03-08,5658.8
1,2020-03-15,5510.0
1,2020-03-22,4963.3
1,2020-03-29,4742.1
1,2020-04-05,4803.4
1,2020-04-12,4968.5
1,2020-04-19,5111.875
1,2020-04-26,5087.3
1,2020-05-03,5162.2
1,2020-05-10,5149.125
1,2020-05-17,5199.6
1,2020-05-24,5305.2
1,2020-05-31,5315.25
1,2020-06-07,5475.8
1,2020-06-14,5745.5
1,2020-06-21,5754.8
1,2020-06-28,5891.4
1,2020-07-05,6022.8
1,2020-07-12,6210.8
1,2020-07-19,6476.2
1,2020-07-26,6480.5
1,2020-08-02,6436.0
1,2020-08-09,6459.4
1,2020-08-16,6364.2
1,2020-08-23,6551.6
1,2020-08-30,6611.6
1,2020-09-06,6699.625
1,2020-09-13,6747.0
1,2020-09-20,6794.4
1,2020-09-27,6688.0
1,2020-10-04,6550.2
1,2020-10-11,6578.7
1,2020-10-18,6716.4
1,2020-10-25,6857.5
1,2020-11-01,6734.9
1,2020-11-08,6797.7
1,2020-11-15,6928.4
1,2020-11-22,7090.5
1,2020-11-29,7314.9
1,2020-12-06,7671.1
1,2020-12-13,7689.8
1,2020-12-20,7839.2
1,2020-12-27,7787.25
1,2021-01-03,7795.0
